uid,date,IRRAD,TMIN,TMAX,RAIN,irr,fer,DVS
nefer_01,2006-11-09,8700.0,10.27,20.43,0.05,0.0,0.0,-0.1
nefer_01,2006-11-10,9690.0,9.6,20.09,0.12,0.0,0.0,0.0
nefer_01,2006-11-11,5030.0,8.96,16.8,1.0,0.0,0.0,0.0
nefer_01,2006-11-12,4510.0,9.46,14.4,3.26,0.0,0.0,0.0
nefer_01,2006-11-13,8570.0,8.87,15.19,0.02,0.0,0.0,0.0
nefer_01,2006-11-14,9980.0,6.29,16.24,0.06,0.0,0.0,0.0
nefer_01,2006-11-15,8890.0,6.48,22.37,0.23,0.0,0.0,0.0
nefer_01,2006-11-16,6070.0,10.41,20.05,2.74,0.0,0.0,0.0
nefer_01,2006-11-17,5650.0,6.43,14.25,1.42,0.0,0.0,0.0
nefer_01,2006-11-18,8510.0,5.77,17.28,0.7,0.0,0.0,0.0
nefer_01,2006-11-19,5530.0,7.21,15.52,5.12,0.0,0.0,0.0
nefer_01,2006-11-20,6040.0,6.48,14.84,0.5,0.0,0.0,0.0
nefer_01,2006-11-21,3810.0,9.87,15.44,18.76,0.0,0.0,0.0
nefer_01,2006-11-22,3270.0,9.11,14.06,12.7,0.0,0.0,0.0
nefer_01,2006-11-23,8560.0,10.9,20.67,0.18,0.0,0.0,0.0
nefer_01,2006-11-24,6320.0,9.29,17.85,0.78,0.0,0.0,0.000121
nefer_01,2006-11-25,3040.0,12.3,18.12,0.43,0.0,0.0,0.00025283
nefer_01,2006-11-26,4130.0,10.85,16.91,1.14,0.0,0.0,0.00048986
nefer_01,2006-11-27,8260.0,8.5,18.66,0.06,0.0,0.0,0.0007462
nefer_01,2006-11-28,4290.0,6.46,14.78,2.17,0.0,0.0,0.00106595
nefer_01,2006-11-29,5590.0,5.03,12.53,0.31,0.0,0.0,0.00137395
nefer_01,2006-11-30,6820.0,3.48,12.68,0.02,0.0,0.0,0.00171852
nefer_01,2006-12-01,7590.0,2.8,17.04,0.12,0.0,0.0,0.00212467
nefer_01,2006-12-02,4450.0,6.71,15.24,0.08,0.0,0.0,0.00273018
nefer_01,2006-12-03,6010.0,6.92,17.26,1.12,0.0,0.0,0.00351578
nefer_01,2006-12-04,4150.0,9.41,18.17,0.32,0.0,0.0,0.00448738
nefer_01,2006-12-05,7210.0,8.88,19.83,1.64,0.0,0.0,0.00569034
nefer_01,2006-12-06,4980.0,6.05,11.88,10.53,0.0,0.0,0.00700171
nefer_01,2006-12-07,2760.0,4.69,11.33,2.27,0.0,0.0,0.0078494
nefer_01,2006-12-08,2220.0,4.45,10.98,11.62,0.0,0.0,0.00868549
nefer_01,2006-12-09,5140.0,5.18,9.06,4.68,0.0,0.0,0.00956562
nefer_01,2006-12-10,3530.0,3.35,7.61,1.71,0.0,0.0,0.01044618
nefer_01,2006-12-11,7240.0,1.95,9.8,0.04,0.0,0.0,0.01117601
nefer_01,2006-12-12,4760.0,4.2,10.41,0.14,0.0,0.0,0.01201391
nefer_01,2006-12-13,3990.0,0.79,7.41,0.11,0.0,0.0,0.01312439
nefer_01,2006-12-14,7340.0,-0.06,10.62,0.06,0.0,0.0,0.01378608
nefer_01,2006-12-15,6620.0,1.98,14.41,0.16,0.0,0.0,0.01468767
nefer_01,2006-12-16,5950.0,4.15,13.27,0.06,0.0,0.0,0.01616392
nefer_01,2006-12-17,2580.0,2.12,8.18,0.8,0.0,0.0,0.01781502
nefer_01,2006-12-18,3910.0,1.12,6.11,0.85,0.0,0.0,0.01884012
nefer_01,2006-12-19,5230.0,-3.23,4.35,0.2,0.0,0.0,0.01959424
nefer_01,2006-12-20,6560.0,-3.56,4.66,0.01,0.0,0.0,0.01971648
nefer_01,2006-12-21,5390.0,-3.47,4.24,0.05,0.0,0.0,0.01983999
nefer_01,2006-12-22,5520.0,-2.56,3.75,0.05,0.0,0.0,0.01992893
nefer_01,2006-12-23,5280.0,-1.52,5.58,0.01,0.0,0.0,0.02007016
nefer_01,2006-12-24,3290.0,-3.48,3.94,0.01,0.0,0.0,0.02056585
nefer_01,2006-12-25,3180.0,-4.35,1.4,0.0,0.0,0.0,0.0206241
nefer_01,2006-12-26,6480.0,-4.36,4.46,0.0,0.0,0.0,0.0206241
nefer_01,2006-12-27,7600.0,2.73,10.4,0.05,0.0,0.0,0.02063732
nefer_01,2006-12-28,7470.0,0.48,10.48,0.0,0.0,0.0,0.0224181
nefer_01,2006-12-29,7490.0,1.7,10.86,0.05,0.0,0.0,0.02396692
nefer_01,2006-12-30,6680.0,2.75,14.4,0.05,0.0,0.0,0.02581509
nefer_01,2006-12-31,6330.0,6.26,16.4,0.0,0.0,0.0,0.02844128
nefer_01,2007-01-01,3300.0,7.57,13.15,2.34,0.0,0.0,0.03205045
nefer_01,2007-01-02,6160.0,4.79,10.82,1.62,0.0,0.0,0.03546093
nefer_01,2007-01-03,6520.0,5.19,11.87,0.25,0.0,0.0,0.03812735
nefer_01,2007-01-04,2920.0,5.69,11.67,1.17,0.0,0.0,0.04110822
nefer_01,2007-01-05,5130.0,7.68,12.01,0.79,0.0,0.0,0.0441676
nefer_01,2007-01-06,6920.0,5.55,14.66,0.12,0.0,0.0,0.04766925
nefer_01,2007-01-07,5530.0,5.87,13.81,0.71,0.0,0.0,0.05129796
nefer_01,2007-01-08,3550.0,7.42,11.32,1.74,0.0,0.0,0.05486718
nefer_01,2007-01-09,7550.0,8.74,16.27,0.0,0.0,0.0,0.05830178
nefer_01,2007-01-10,6790.0,4.9,15.44,0.05,0.0,0.0,0.06293586
nefer_01,2007-01-11,6500.0,4.15,14.17,0.01,0.0,0.0,0.06674756
nefer_01,2007-01-12,4860.0,9.27,13.63,0.06,0.0,0.0,0.07022113
nefer_01,2007-01-13,5730.0,5.49,14.83,0.05,0.0,0.0,0.07461576
nefer_01,2007-01-14,4300.0,5.33,13.01,0.19,0.0,0.0,0.07856391
nefer_01,2007-01-15,6360.0,3.55,14.63,0.0,0.0,0.0,0.08217288
nefer_01,2007-01-16,6140.0,4.81,12.81,0.08,0.0,0.0,0.08579714
nefer_01,2007-01-17,8550.0,4.81,16.07,0.0,0.0,0.0,0.08935663
nefer_01,2007-01-18,7360.0,7.26,15.44,0.0,0.0,0.0,0.09363199
nefer_01,2007-01-19,2960.0,9.89,13.94,0.1,0.0,0.0,0.09834422
