uid,cultivar,planting_date,split
nefer_01,Nefer,2006-11-09,finetune
nefer_02,Nefer,2006-11-09,finetune
nefer_03,Nefer,2006-11-09,finetune
nefer_04,Nefer,2006-11-09,finetune
nefer_05,Nefer,2006-11-09,finetune
nefer_06,Nefer,2006-11-09,finetune
nefer_07,Nefer,2006-11-09,finetune
nefer_08,Nefer,2006-11-09,finetune
nefer_09,Nefer,2005-11-08,finetune
nefer_10,Nefer,2005-11-08,finetune
nefer_11,Nefer,2005-11-08,finetune
nefer_12,Nefer,2005-11-08,finetune
nefer_13,Nefer,2005-11-08,finetune
nefer_14,Nefer,2012-11-20,test
nefer_15,Nefer,2012-11-20,test
nefer_16,Nefer,2012-11-20,test
nefer_17,Nefer,2012-11-20,test
nefer_18,Nefer,2011-11-14,test
nefer_19,Nefer,2011-11-14,test
